n,poid_max,mean,dist_mean_poidMax,division_mean_poidMax,division_mean_std_poidMax,kurtosis,skewness,dist_max_poidMax,exec_time,solution,std
0.0,513.238341968912,0.2920850455601215,37.98196679919587,3.7223418492103506,211.76165803108807,193.0,725.0,1.2554493632621628,1.069728136062622,69.0,130.03735513524546
2.0,79.67105263157895,0.5996429516001058,28.72155605790483,-1.2777193582014152,119.32894736842105,152.0,199.0,-0.005986640611352294,0.8876254558563232,121.0,47.897763129314434
0.0,480.27700127064804,0.29267010122143144,32.23674612863788,3.178358378517935,198.72299872935196,787.0,679.0,0.8676381681678893,0.9957122802734375,287.0,110.14704267398966
3.0,474.8166877370417,0.4670968712266647,89.01873948846765,-0.12722871145692194,416.1833122629583,791.0,891.0,1.1449922395237286,1.3235812187194824,482.0,190.5787535135729
2.0,270.3542199488491,0.4678066536439978,50.081917348032995,-0.1378563142405973,237.6457800511509,782.0,508.0,1.1115326520370905,0.9406957626342773,482.0,107.05687265864644
0.0,600.3735705209657,0.2894987331112832,42.41712988915074,3.1651874603880796,244.6264294790343,787.0,845.0,1.0663754289455292,1.0856871604919434,290.0,146.51922456892277
1.0,300.1685393258427,0.4687282489808094,56.51850183514852,-0.2206555635512939,264.8314606741573,801.0,565.0,1.0775803430845905,1.3453500270843506,496.0,120.57839901486818
1.0,92.33928571428572,0.6231049562682215,37.00672340160438,-1.2580067662690475,152.66071428571428,112.0,245.0,-0.1063569027124343,1.4332945346832275,96.0,59.390834608727594
0.0,560.5070422535211,0.2949596952785898,39.77908271894454,5.744640095544119,234.49295774647888,71.0,795.0,1.4623296140620328,1.4820775985717773,27.0,134.86277398467323
0.0,607.3266832917706,0.28801092228397357,41.80997462088552,3.8120266159063045,245.67331670822944,802.0,853.0,1.1406721796085402,1.462679147720337,276.0,145.16801755060402
1.0,189.65992414664981,0.6081406525895665,69.09151055822424,-1.1844345078032088,294.3400758533502,791.0,484.0,-0.010098574684683724,1.2162842750549316,644.0,113.61107050485909
64.0,518.7111111111111,0.3037434750186428,37.376571156417945,1.9553337699894424,226.2888888888889,180.0,745.0,0.7978093015206729,1.1521034240722656,65.0,123.05308337610836
1.0,336.4458128078818,0.5970708828648122,116.38858312673716,-1.2471752510668312,498.5541871921182,812.0,835.0,0.0026249677553125753,1.2886481285095215,667.0,194.93260593832989
2.0,425.91582914572865,0.4676052135678392,78.34863379864083,-0.1994685584104725,374.08417085427135,796.0,800.0,1.0921432296550317,1.5631959438323975,480.0,167.55295177493605
1.0,110.03821656050957,0.6070063694267516,39.011362102457795,-1.1997571316545153,169.96178343949043,157.0,280.0,-0.13830120766795026,1.6140425205230713,131.0,64.26845592954747
2.0,449.6181592039801,0.4653767429203566,86.24936785519574,-0.08850399679748788,391.3818407960199,804.0,841.0,1.1811276066198433,1.5799837112426758,482.0,185.33235527404995
0.0,387.15972222222223,0.28037226352746797,26.220190798567877,4.471723911362516,150.84027777777777,144.0,538.0,1.318026849010172,1.5041840076446533,48.0,93.51920360695414
16.0,199.77777777777777,0.4541590771098968,34.930558881355026,0.4904510645272664,166.22222222222223,36.0,366.0,1.3044863432627154,1.5614495277404785,23.0,76.91260759036328
1.0,37.04828462515883,0.5837271390431592,12.124108249901667,-1.243771385231928,51.95171537484117,787.0,89.0,0.02691290039870126,1.566572904586792,614.0,20.7701637271404
1.0,24.30164765525982,0.5736553042936874,7.474976078436828,-1.182339368780326,32.69835234474018,789.0,57.0,0.08669311925809288,1.5558836460113525,619.0,13.03043138011316
0.0,560.3672456575682,0.28887405373405045,38.19739698652737,3.394415258465374,227.63275434243175,806.0,788.0,1.0266399689400343,6.707615852355957,287.0,132.22854906066954
1.0,6.055555555555555,0.5341880341880342,1.7427790139306754,-1.1006891465150668,6.944444444444445,18.0,13.0,-0.2988921913757006,7.2200927734375,15.0,3.262482314078224
1.0,139.42124542124543,0.6072640974049425,50.47046540337228,-1.2386382560898792,215.57875457875457,819.0,355.0,-0.04899861611055534,6.806704521179199,672.0,83.11122890197313
1.0,88.99498117942284,0.5936302229250099,30.444148609596034,-1.2353953585347244,130.00501882057716,797.0,219.0,0.017023187627437163,8.020393133163452,646.0,51.28470120606019
0.0,680.91875,0.2862486897274633,46.036600332070634,4.003691162505874,273.08125,800.0,954.0,1.1494142683754558,8.384624481201172,290.0,160.8272875446241
21.0,519.6010638297872,0.45761893128414693,92.15824692187094,0.046429433959142674,438.3989361702128,188.0,958.0,1.1860871531937098,7.1499409675598145,113.0,201.38643885046704
6.0,259.47777777777776,0.46054516054516054,48.377892893398986,0.07431515190659299,221.5222222222222,180.0,481.0,1.2026240341427101,8.209697961807251,107.0,105.04484041506959
1.0,136.83585858585857,0.6045206399252643,48.1578200439652,-1.1560466635899616,209.16414141414143,792.0,346.0,-0.05693877876805478,10.218037366867065,655.0,79.66282185157296
94.0,275.6904761904762,0.3038119288119288,19.39869650810826,0.9493854172750393,120.30952380952381,42.0,396.0,0.34314843942966206,8.222527027130127,16.0,63.851003428232055
0.0,6.001233045622688,0.4998972461981093,1.7674035557965906,-1.2897500393607932,5.998766954377312,811.0,12.0,0.3123709806088308,10.1412193775177,555.0,3.5355336906500345
1.0,83.47692307692307,0.46829985301322885,16.010365765113526,-0.2992621549294463,73.52307692307693,195.0,157.0,0.9546942231500233,7.626292705535889,120.0,34.18827843335081
4.0,79.71641791044776,0.45399713759967286,13.996881747326668,-0.4092532248003007,66.28358208955224,67.0,146.0,0.7793558756961827,5.860344171524048,40.0,30.8303303878292
4.0,20.96969696969697,0.6043453401943968,7.10826259561921,-1.0858772969532633,32.03030303030303,33.0,53.0,-0.32946548278780463,5.23986029624939,28.0,11.761921740527907
1.0,26.924906132665832,0.5981357293631966,9.07961245962844,-1.1025799880783962,40.07509386733417,799.0,67.0,-0.06753186697543836,4.962110757827759,650.0,15.17985302315082
2.0,273.84422110552765,0.46093657262691407,49.636960575009574,-0.1328408664109797,234.15577889447235,796.0,508.0,1.11723092775896,7.675229072570801,472.0,107.68718197413713
2.0,478.62017434620174,0.47404376445472335,94.06225563557882,-0.33895513666880905,431.37982565379826,803.0,910.0,1.0753680063147748,9.013133525848389,499.0,198.42525667176633
3.0,336.67164179104475,0.4613253731343284,59.150622925696496,0.087827727297765,288.32835820895525,804.0,625.0,1.1796758760948796,5.232555627822876,485.0,128.2188805784005
5.0,160.83333333333331,0.29459064327485385,13.874386407834702,3.4828484549044956,67.16666666666667,30.0,228.0,1.4666286774098958,7.856915712356567,11.0,47.09717271939919
0.0,477.0982587064677,0.283636248188487,31.512962581293607,4.163441705984377,188.90174129353233,804.0,666.0,1.157695483046025,6.912567377090454,285.0,111.10343893828428
0.0,563.6582278481012,0.28831031837360954,38.62006511570016,3.8699180093562062,228.34177215189874,790.0,792.0,1.1183861285203187,8.585421800613403,277.0,133.953114593887
150.0,910.0,564.84,345.16,0.6207032967032967,138.94997491170906,-1.2362041375654818,-0.17605496330514953,3.0,1.1359128952026367,121.0,223.85892849241418,121.0,0
171.0,494.0,292.719298245614,201.28070175438597,0.5925491867320122,69.68312230783897,-1.3484461235965617,0.008908916849299897,1.0,1.1326467990875244,141.0,117.59888270567151,141.0,0
786.0,707.0,207.5737913486005,499.4262086513995,0.2935980075652058,33.78765877711544,3.0266232013762258,0.9144423503538144,0.0,1.142047882080078,284.0,115.0813626336053,284.0,0
802.0,528.0,153.069825436409,374.930174563591,0.2899049724174413,25.505278533779503,2.895421214859463,0.9208878976185711,0.0,1.1536180973052979,289.0,87.9780650918047,289.0,0
97.0,254.0,73.58762886597938,180.41237113402062,0.2897150742755093,13.423166742806805,2.807370237976605,1.0321857881784176,0.0,1.162834882736206,36.0,46.332303475661824,36.0,0
121.0,894.0,569.2314049586778,324.7685950413223,0.6367241666204448,135.9905233704291,-1.2078799537555824,-0.17819641616365953,2.0,1.1490249633789062,104.0,213.57839155411529,104.0,0
763.0,344.0,161.78374836173,182.21625163827,0.4703015940747966,34.33887802373746,-0.22239581690886426,1.0556170487779617,1.0,1.1298859119415283,467.0,73.01458990648503,467.0,0
150.0,657.0,213.54666666666665,443.4533333333334,0.3250329781836631,45.620266281733855,2.7943058591473484,1.4843286575295374,0.0,1.0843451023101809,59.0,140.3558080065207,59.0,0
789.0,525.0,313.10519645120405,211.894803548796,0.5963908503832458,69.95458120985353,-1.082433020151745,-0.03451286828134832,1.0,1.2700092792510986,633.0,117.29653659994969,633.0,0
133.0,634.0,389.67669172932335,244.32330827067668,0.6146320058822135,88.92269255990391,-1.1620422662277845,-0.1012020696819231,3.0,1.3023998737335205,109.0,144.67631315793346,109.0,0
796.0,912.0,545.3391959798995,366.6608040201005,0.5979596447148021,126.5318495116228,-1.1975366691693594,-0.014811619094760278,2.0,1.3788580894470217,637.0,211.6060015588049,637.0,0
812.0,285.0,135.3756157635468,149.62438423645318,0.4750021605738484,28.957456705757213,-0.2666042758618108,1.0359920910154128,1.0,1.5616798400878906,507.0,60.962789455049645,507.0,0
149.0,415.0,257.5570469798658,157.44295302013418,0.6206193903129296,54.68214850002837,-0.9304761445204272,-0.12835579282119222,6.0,1.8897037506103518,125.0,88.10899136176918,125.0,0
802.0,706.0,422.95635910224433,283.0436408977556,0.5990883273402895,99.50242066178673,-1.237814568393557,-0.040363534863877885,1.0,1.4299840927124023,647.0,166.08973355154043,647.0,0
801.0,55.0,26.10861423220974,28.89138576779026,0.4747020769492679,6.398702941454574,-0.8741074313807302,0.3768283994119832,1.0,1.565131902694702,505.0,13.479407932184825,505.0,0
62.0,317.0,133.58064516129033,183.41935483870967,0.4213900478274143,24.735360837546324,1.1750399007794141,1.4476328308270634,20.0,1.5737972259521484,33.0,58.69944239327886,33.0,0
806.0,702.0,424.9565756823822,277.04342431761785,0.6053512474108008,99.90265253247208,-1.2769921714534316,-0.06532158419587965,1.0,2.3791091442108154,660.0,165.03253765441832,660.0,0
