n,poid_max,mean,dist_mean_poidMax,division_mean_poidMax,division_mean_std_poidMax,kurtosis,skewness,dist_max_poidMax,exec_time,solution,std,score,selected
802.0,706.0,422.95635910224433,283.0436408977556,0.5990883273402895,99.50242066178673,-1.237814568393557,-0.040363534863877885,1.0,1.6664800643920898,525.0,166.08973355154043,525.0,0
801.0,55.0,26.10861423220974,28.89138576779026,0.4747020769492679,6.398702941454574,-0.8741074313807302,0.3768283994119832,1.0,1.6887660026550293,410.0,13.479407932184825,410.0,0
62.0,317.0,133.58064516129033,183.41935483870967,0.4213900478274143,24.735360837546324,1.175039900779414,1.4476328308270634,20.0,1.5754880905151367,28.0,58.69944239327886,28.0,1
806.0,702.0,424.9565756823822,277.04342431761785,0.6053512474108008,99.90265253247208,-1.2769921714534316,-0.06532158419587965,1.0,2.6100990772247314,536.0,165.03253765441832,536.0,0
102.0,508.0,138.00980392156862,369.9901960784314,0.2716728423652925,19.45276032306736,1.0106661284392078,0.2193994484865372,131.0,1.306114912033081,29.0,71.6036249840206,29.0,0
809.0,671.0,401.69468479604444,269.3053152039555,0.5986507970134791,93.5857329094604,-1.1613414246970382,0.025622594959264045,1.0,1.2945678234100342,529.0,156.32775129731138,529.0,0
789.0,789.0,368.040557667934,420.9594423320658,0.4664645851304615,77.12293089868986,-0.11646356331190112,1.1100192548862071,2.0,1.416706085205078,402.0,165.33501868554504,402.0,0
786.0,809.0,376.3982188295165,432.6017811704834,0.4652635585037288,79.83212637506699,-0.07701531686884032,1.1288894823818505,2.0,1.4360618591308594,394.0,171.58473926435232,394.0,0
183.0,305.0,79.30601092896175,225.69398907103826,0.260019707963809,11.533790097838835,2.8891149321304943,0.6687917194568699,14.0,1.2841737270355225,49.0,44.35736886314853,49.0,0
10.0,597.0,356.9,240.1,0.5978224455611391,77.07322818641957,-0.7649877564682903,0.20902521708902472,32.0,1.060922145843506,8.0,128.92327606414258,8.0,0
188.0,166.0,101.39893617021276,64.60106382978725,0.6108369648807997,24.605957164443016,-1.1994773578854532,-0.03457786989540185,1.0,1.619333028793335,126.0,40.282364328171724,126.0,0
786.0,721.0,207.52926208651402,513.470737913486,0.28783531496049103,35.417121399218956,3.6656341627459534,1.0866956408577724,0.0,1.2441291809082031,229.0,123.04647678162908,229.0,0
797.0,306.0,187.92973651191966,118.07026348808031,0.6141494657252278,42.39595537917436,-1.1586463450739488,-0.09684437723048823,1.0,1.705700159072876,540.0,69.03198284005744,540.0,0
803.0,505.0,148.15442092154422,356.8455790784558,0.2933750909337509,25.113912298073174,3.879959488283125,1.1500164284208079,0.0,1.1508958339691162,238.0,85.60342399261266,238.0,1
82.0,919.0,509.2317073170732,409.7682926829268,0.554115024284084,114.82678874203822,-1.0396760904109477,0.3831719392289267,7.0,1.4072799682617188,52.0,207.22554651968568,52.0,0
782.0,503.0,293.9539641943734,209.04603580562664,0.5844015192731081,66.27382437441435,-1.132580121932782,0.08020212250676019,1.0,1.3102846145629885,501.0,113.40460657399937,501.0,0
807.0,162.0,74.52540272614623,87.47459727385376,0.4600333501613965,15.827047477196915,-0.1365968708412777,1.0196542414150669,1.0,1.6314640045166016,400.0,34.40413063888566,400.0,0
29.0,423.0,108.75862068965515,314.2413793103448,0.25711257846254176,11.705715018476296,-0.7395034055253156,-0.7685011789718287,266.0,1.1108899116516109,8.0,45.52758596437815,8.0,1
22.0,297.0,83.63636363636364,213.3636363636364,0.28160391796755435,14.518975931176481,0.6681365611886569,0.4882154021750616,84.0,1.0656509399414062,7.0,51.558146051253864,7.0,1
790.0,177.0,80.93291139240506,96.06708860759493,0.4572480869627405,17.20191821803034,-0.14294117909301596,1.0399971386830658,1.0,1.2199409008026123,393.0,37.62053622201828,393.0,0
111.0,917.0,276.4144144144144,640.5855855855856,0.30143338540285103,53.60957676870146,3.603469218304022,1.4471493374233388,0.0,1.3712520599365234,35.0,177.84883614353097,35.0,0
800.0,562.0,260.76875,301.23125,0.464001334519573,54.82937477933272,-0.021765455246071763,1.1506393391518652,1.0,1.221829175949097,400.0,118.1664161291757,400.0,0
10.0,914.0,234.2,679.8,0.2562363238512035,30.39634404792088,-0.5074653080398055,-1.1442149680096512,583.0,1.1073861122131348,3.0,118.62621033219335,3.0,1
160.0,322.0,153.4,168.6,0.4763975155279504,34.63713440330913,-0.3190884261658757,1.0593449333315228,1.0,1.5780801773071291,84.0,72.70637078139205,84.0,0
91.0,932.0,265.8791208791209,666.1208791208793,0.2852780266943357,39.41177481044291,1.6325161537971409,0.4198336554223219,193.0,1.236515760421753,27.0,138.15215727312605,27.0,1
807.0,122.0,34.56505576208178,87.43494423791824,0.2833201291973917,5.84311540951946,2.3799696285652523,0.9538133693591616,0.0,1.640017032623291,232.0,20.623721392730666,232.0,0
163.0,362.0,168.41104294478532,193.5889570552148,0.4652238755380809,35.84217588496127,-0.232632722652566,1.0910416621883592,1.0,1.1574602127075195,84.0,77.04285564343832,84.0,0
784.0,264.0,123.77551020408166,140.22448979591834,0.4688466295609153,26.394635890666372,-0.23037406489200274,1.0396663408924245,1.0,1.1628527641296391,402.0,56.296951340751896,402.0,0
130.0,411.0,118.96923076923076,292.03076923076924,0.28946284858693616,20.134959980893413,3.92479914173029,1.1489438058945738,0.0,1.652519941329956,39.0,69.55973825029972,39.0,0
793.0,254.0,150.09962168978564,103.90037831021436,0.590943392479471,34.499245889700525,-1.1966196787769183,0.05023373548010313,1.0,1.4237489700317385,506.0,58.379950311228846,506.0,0
816.0,286.0,134.01593137254903,151.98406862745097,0.4685871726312904,29.08002084658287,-0.24843127797073805,1.0650723914328917,1.0,1.2058320045471191,411.0,62.05893491127338,411.0,0
57.0,17.0,10.526315789473683,6.473684210526315,0.6191950464396285,2.381243638537601,-1.0116235894341536,-0.35206817490601605,1.0,1.8154501914978027,42.0,3.845708476238224,42.0,0
31.0,289.0,87.58064516129032,201.41935483870967,0.30304721509097,12.600782935586253,0.2829185705763253,-0.2872001821605661,122.0,2.643054723739624,10.0,41.58026310125865,10.0,1
798.0,942.0,558.0914786967419,383.9085213032581,0.5924537990411273,133.46220544244792,-1.2895669603796007,0.02118968252053556,1.0,1.5685200691223145,511.0,225.2702331531225,511.0,0
817.0,917.0,258.71603427172585,658.2839657282742,0.28213307990373593,41.95365991693462,4.422137029426084,1.1321800083639515,0.0,1.517059087753296,233.0,148.70166919543516,233.0,1
75.0,88.0,28.586666666666666,59.41333333333333,0.32484848484848483,5.89248243945757,1.2220717419788936,0.99024747819825,0.0,1.4847297668457031,26.0,18.139171688628714,26.0,0
69.0,988.0,428.33333333333326,559.6666666666667,0.4335357624831309,74.1267729486443,1.1399059262861393,1.4550803189607002,56.0,1.5316002368927002,34.0,170.98191052123087,34.0,0
159.0,284.0,176.8993710691824,107.10062893081758,0.6228851093985296,40.6032219359462,-1.121576022457828,-0.14814583789954014,2.0,1.0698590278625488,112.0,65.18573220533958,112.0,0
792.0,933.0,271.94191919191917,661.0580808080807,0.29147043857654786,44.204078281292716,3.7545147017005625,0.9602806384408984,0.0,1.5917980670928955,234.0,151.6588731851225,234.0,0
19.0,728.0,443.89473684210526,284.10526315789474,0.6097455176402545,113.84654315127041,-1.238286681816323,-0.18702998216494005,23.0,1.8040308952331543,14.0,186.71157041360826,14.0,1
184.0,822.0,489.39130434782606,332.60869565217394,0.5953665503014915,108.44399801671732,-1.1061223294132188,-0.0038639488531557694,7.0,1.8092589378356927,126.0,182.1466086091025,126.0,0
807.0,784.0,371.11400247831483,412.88599752168517,0.4733596970386668,79.44941138667443,-0.2507567114213285,1.0750870185881896,1.0,1.1763670444488523,415.0,167.841520694958,415.0,0
198.0,396.0,119.73737373737372,276.26262626262627,0.3023671053974085,20.210377839386858,4.6262268390451196,1.3892262058356428,0.0,1.7906649112701416,61.0,66.84053086007445,61.0,1
161.0,202.0,59.5776397515528,142.42236024844718,0.29493881065125144,10.049779747826989,2.0415569970929632,0.6976633694925078,2.0,1.8155460357666016,49.0,34.07411769795969,49.0,0
800.0,91.0,26.0,65.0,0.2857142857142857,4.773835700176392,2.0192310557649327,1.007967848642356,0.0,1.9204132556915283,231.0,16.708424950617367,231.0,0
50.0,874.0,368.5,505.5,0.4216247139588101,60.674104703672285,1.1914044667023438,1.4167397821765282,94.0,1.5088188648223877,25.0,143.90547492811285,25.0,0
97.0,290.0,81.9278350515464,208.0721649484536,0.28250977603981514,13.150256509561718,4.099386153489453,1.0747219269727055,0.0,1.1312692165374756,29.0,46.54796975134908,29.0,0
175.0,586.0,270.4685714285714,315.53142857142865,0.4615504631886884,56.67670569007304,-0.3650126317377103,1.0403488881370306,21.0,0.9345550537109376,89.0,122.7963358513688,89.0,0
58.0,889.0,448.79310344827593,440.20689655172407,0.5048291377370933,99.88626489116504,-0.9883696239510876,0.7927069059973921,18.0,0.9550292491912842,35.0,197.86152863304844,35.0,0
99.0,498.0,282.6363636363636,215.3636363636364,0.5675428988682001,64.279187864826,-1.1028446592091887,0.1536816642952956,8.0,0.969794988632202,65.0,113.25872985639008,65.0,0
784.0,781.0,224.3609693877551,556.6390306122448,0.2872739684862421,38.7336347752159,3.8906670516008868,1.2179620371526558,0.0,1.0824010372161863,227.0,134.83169038711873,227.0,1
